states,x,y
uttar pradesh,-26.0,77.0
madhya pradesh,-52.0,26.0
ladakh,-78.0,202.0
jammu & kashmir,-104.0,185.0
himanchal pradesh,-74.0,157.0
punjab,-104.0,140.0
uttrakhand,-47.0,138.0
haryana,-89.0,118.0
delhi,-75.0,107.0
rajasthan,-128.0,72.0
gujrat,-147.0,21.0
sikkim,78.0,92.0
arunachal pradesh,156.0,104.0
bihar,42.0,67.0
assam,141.0,75.0
meghalaya,113.0,60.0
nagaland,161.0,75.0
manipur,157.0,53.0
mizoram,140.0,34.0
tripura,123.0,39.0
west bengal,72.0,23.0
jharkhand,39.0,31.0
chhattisgarh,-8.0,1.0
odisha,27.0,-8.0
maharashtra,-100.0,-26.0
telangana,-55.0,-50.0
andhra pradesh,-57.0,-98.0
karnataka,-101.0,-98.0
goa,-121.0,-91.0
kerala,-90.0,-152.0
tamil nadu,-54.0,-144.0
puducherry,-42.0,-140.0
andaman & nicobar islands,147.0,-134.0
